id,texto,sentimento
51,Acho que já chegou o tempo para o Sr. Walcyr Carrasco escrever a segunda parte de Chocolate Com Pimenta.,0
437,Mais uma chamadinha que acabou de ir ao ar. Inshalá! #OClone 🧬🧕🏼❤️,1
1006,Já fizeram montagem do shownu raspando a cabeça com a música de laços de família?,0
1012,"Giovanna Antonelli relembra dança do ventre em O clone , que volta no Vale a pena ver de novo : Jade foi popular",1
168,Sabadão desse e eu assistindo #DuasCarasNoGloboPlay,1
214,"Aí Dina sfat, perdoe os tontos que acham a Fernanda do remake de selva de pedra melhor que a sua Fernanda",-1
60,a gay falou que eu parecia glória pires em mulheres de areia,0
646,#AGataComeuNoGloboplay Hj n eh dia de sequestro bebê kkkkk,-1
1000,"assistindo #pedrasobrepedra, já começa com a gioconda destilando veneno pra hilda",0
369,e Chocolate com Pimenta que eu amava,1
1028,Na minha opinião Helena de Laços de Família foi a melhor Helena do Maneco.. https://t.co/VOEyMMiwQO,1
266,Round 6 é apenas uma série inspirada em Mario Party. https://t.co/XZv4NVspwH,0
601,minha mãe só escolheu maysa por causa da novela o clone obrigada rede globo 🙌,0
330,O italiano é um idioma artificial criado pela burguesia brasileira pra dar nome em condomínio e popularizado pela série documentária Terra Nostra,0
788,que vagabunda essa eliane e a pilar ainda criou a filha dela (que tbm se chama eliane) #pedrasobrepedra,-1
13,Quem não se lembra da criança sequestrada em Explode Coração? Eu tinha medo de pegar carona por causa desta novela! Aqui está uma música para você... Back for Good - Radio Mix de Take That ,-1
284,eu NAO ACREDITO que a novela CHATA que é o O Clone vai passar pela MILESIMA vez na TV,-1
927,"Na tv, indagado qusis as suas favoritas novelas com tarcisio meira, popular manda: selva de pedra e irmaos coragem. Sendo que, tarcisao não fez selva, àquela, foi o cuoco. No remake, foi o Tony ramos...",0
353,"Tava lembrando aqui da novela Pedra sobre Pedra e uma amiguinha minha levou pro colegio uma planta q ela dizia ser do Jorge Tadeu,dai ela comeu e desmaiou. Foi levada pra diretoria completamente desmaiada. Ou fingindo estar. Eu fiquei impressionada",0
1037,Eu não tinha notado que as paredes do dormitório da dica dos jogos Ou mostra os jogos que já aconteceram #SquidGame,0
191,muito legal ver a daniela escobar nessa reta final de #TiTiTi parece ate um buzz pra estreia de o clone,1
282,Socorro KKKKKKKKK eu amo chocolate com pimenta vai que,1
608,"Quem assistiu a novela A favorita? No começo, todo mundo achava q a Flora era a boazinha, um monte de gente virou as costas pra Donatela e no final....",0
475,"o gancho desse primeiro capítulo tão icônico! ah, como amo... #LaçosDeFamilia",1
1023,"Lembro de quando vc fez a ciganinha Yanda se não me engano na novela Explode Coração...hj está essa mulher linda, parabéns sucesso na sua carreira...",1
92,chocolate com pimenta é muito a minha novelinha conforto. sem dúvidas a maior que temos,1
877,"@fulano @fulano @fulano Tive a sorte de ver round 6 um dia antes de começarem a falar aqui @fulano , pq se sex education eu consegui ver 3 episódios no dia seguinte ao lançamento e já sei a série toda 🤡 até me deu uma broxada de continuar",-1
630,"Ferraço ficou obcecado pela Silvia ai quando ela fica obcecada por ele,ele não gosta. Ai ai #DuasCarasNoGloboplay",-1
500,Quase acabando Duas Caras vou sentir falta dessa novelinha 🤧,1
662,"@fulano Mulheres de Areia, a melhor",1
586,Quase pulando os capítulos de tieta. Como q a protagonista só volta no 17° capítulo? #tieta https://t.co/5gDoiYLcVG,-1
939," Raquel não merece seu ódio, merece o seu desprezo  #MulheresDeAreia",0
397,"🚨MEU DEUS! Em nova entrevista ao The Guardian, Hwang Dong-Hyuk, diretor e criador de Round 6, afirma que já está conversando com a Netflix sobre a produção de uma nova leva de episódios da série. ",0
811,"Esse programa da Globo é chato pra caralho, ao invés de já começar verdades secretas de uma vez, tomar no cool viu",-1
241,Tieta recém voltou e já disse que vai fazer algo pela Tonha 😭😭😭😭😭😭😭😭😭 Se eu tô vivendo é só pra chegar no capítulo em que a Tonha volta pro Agreste como UMA NOVA MULHER.,1
348,Só na espera do Dom Pedro II convidar o Matheo do Terra Nostra pra Iniciativa Higienista.,-1
573, mulheres apaixonadas >>>>>>>>>>>>,1
886,"Rei do Gado só vale a 1ª fase da novela, dps é porre, adorava tirar uma soneca vendo!",-1
502,ALBERTO CHEGOU A CRISTO #AViagemNoGloboplay,0
997,clássicos como Selva de Pedra...Irmãos Coragem...ela fez um compacto....outros classicos como o cafona(1971) ela não tem por causa dos incêndios....incluindo algumas novelas da Janete....semideus(1973) se perderam nos incêndios(1973/1976) ,1
45,"Maratonando a vera a novela #ExplodeCoração. Quando foi exibida eu tinha 4 anos. Não faço ideia da repercussão na época, mas tô torcendo pro Júlio se foder e a Dara ficar bem com o Igor. 🥲",1
635,passando mal com o capítulo 28 de tieta kkkkkkkkkkkkkkkk,1
115,É dessa baixaria que eu gosto. 😂😂😂😂😂😂😂😂😂😂🗣🗣🗣🗣🗣🗣🗣🗣 #DuasCarasNoGloboplay,1
292,A 3° temporada de Sex Education já está disponivel😍,1
805,A 3ª temporada de #SexEducation já está disponível na Netflix. ,0
229,Quero assistir  Mulheres de Areia  mas estou com preguiça porque são 201 capítulos. Quando foi que me tornei essa grande preguiçosa? ,1
366,a fernanda de selva de pedra tem cara de que toma café com cachaça na parte da manhã,0
488,"Alexandre está tentando tomar o lugar de Kayky Brito no remake de chocolate com pimenta, estamos de olho",0
42,"Esse cara é f... mesmo kkk, até ihuuuuu tem na terra nostra! 🤣🤣🤣🤣🤣🤣🤣",0
1,simplesmente a plot de O Bem-Amado,1
746,nooo meu belo (estragado) cabelinho... uma foto meio Carolina Dieckmann em laços de família sabe https://t.co/jCofUgNbnq,0
726,a maior que temos chegou #PedraSobrePedra,1
558,"eita que luxo de primeiro capítulo, acho que vou deitar pra esse circo #PedraSobrePedra",1
800,como eu amo a energia caótica dessa pensão!!! #AViagemNoGloboplay,1
779,"Dois finais emblemáticos, pena que Pedra Sobre Pedra foi a última novela dele.",1
937,"a diva sempre comenta das duas quando elas aparecem, pq a gente assiste roque e o bem amado juntas",0
283,"Tadeu Hassem, pensa em repetir o que o saudoso Odorico Paraguaçú fez na pequena cidade de Sucupira da velha novela O Bem Amado. Inaugura ramais, pontes, aterros, entrega sacolões, tudo para que seja notado.",1
705,"Silvia Louca de Duas Caras ou Giovana, quem mais quer ir pra Paris? #VerdadeSecretas2",0
1036,Quem é que está narrando as chamas de O Clone? É a Jandira Martini mesmo?,0
974,Essa música é perfeita d+ trilha d mulheres apaixonadas Chang sempre com bom gosto #IM #아이엠 #CHANGKYUN #창균 #MONSTAX #몬스타엑스,1
125,"Tanta novela boa para reprisar, vão colocar logo O clone pqp. Até cogitei voltar a trabalhar presencial de ódio https://t.co/qnj6ErFBlo",-1
186,Edson tem mais bunda que eu #AGataComeuNoGloboplay,0
222,Mais um conde na novela #AGataComeuNoGloboplay,0
52,"Dorgival pediu dois ternos branco e um par de sapato branco,tá o próprio Boto #DuasCarasnoGloboplay",0
797,"É Terra Nostra, mana",0
740,"não perco Verdades Secretas, por nada!!!!!",1
96,Verdades Secretas foi e sempre será um espetáculo de produção ! Que venha a parte 2 ! #VerdadesSecretas,1
584,"barbara janta silvia no primeiro encontro, ameeeei KKKKK #DuasCarasNoGloboplay",1
492,Jurei q eram as irmãs cajazeiras e o filme era O BEM AMADO.,0
617,Lançamento de MONTERO e nova Season de Sex Education. grande 17/09,1
331,minha mãe me ligando pra dizer que a proxima novela do vale a pena ver de novo vai ser o clone muito bom ser eu mesma 🕊,1
512,"uma novela ruim, interminável.. dessa vez até a  esquerda revolucionária  embarcou.. pedra sobre pedra..",-1
747,já aceitou que laços de família é perfeita?,1
881,"acho essa novela mt boa, n sei pq criticam tanto. o único defeito é focar demais nos núcleos paralelos e deixar de lado o principal. quando a novela começa a focar mais na silvia/ferraço/maria paula, vira um novelão #duascaras",1
453,"Sim, as novelas são exportadas pra muitos países e tem grande aceitação no exterior. Aqui no Brasil o nome dessa novela é Terra Nostra kkkk",1
376,Cada vez mais certa que a Márcia (Chocolate com Pimenta) é meu spirit animal,1
412,Eu adoro chamar a Pietra de Tieta,1
835,"📰 | A estrela de  #Round6/#SquidGame  #JungHoYeon compartilhou em uma entrevista como ela começou a atuar, a maior mudança em sua vida desde que apareceu no drama, e muito mais! Segue o fio com a entrevista completa",0
56,Laços de família Eu odeio a iris Eu odeio a Camila,-1
576,eu tô vivendo pelo cap de vale tudo em que Odete aparece,1
47,Laços de Família bombando hoje,1
985,Capítulo 1 do luxinho no TV Time #pedrasobrepedra,0
67,"festa da virginia, mari do prexecao, lançamento de montero, nova temporada de sex education... eu não aguentooooooooo",1
778,17 de setembro é um dos melhores dias do ano pra mim: lançamento de montero e de sex education 😭💓,1
446,eu grito q o papel da yasmin brunet em verdades secretas é ficar assim o tempo todo,0
457,tragedia das grandes em sucupira #OBemAmado,-1
224,eu sou cadelinha do thiago desde terra nostra ,1
325,"raramente essas novelas de época acertam, né? gosto muito de chocolate com pimenta e orgulho e paixão, só.",1
249,Laços de Família é assim,0
496,mulheres de areia capítulo 167 marcos descobre que raquel está viva,0
324,É oficial: 48 capítulos pra terminar O Bem-Amado,0
398,"🌇FII | Como a série Round 6 pode nos ensinar sobre finanças? | | fundosimobiliarios fiis A série Round 6 já foi nomeada pela agência Bloomberg como o maior lançamento da história da Netflix, além de ter sido avaliada em quase 900 milhões de dólares p...",1
671,"Ai eu sempre achei #ExplodeCoração uma novelinha super sem sal, mas devo adimitir, que esse tema de abertura é perfeito! Eu assistia só pra dançar essa abertura kkk",1
510,E eu q n sabia q a globo tá reprisando verdades secretas 😢,-1
679,A Terceira temporada de #SexEducation já está disponível na Netflix ,0
610,"Infelizmente. Selva de Pedra de 1972 não tem mais todos os capítulos, justo ela, a maior novela da Globo em números de Ibope.",1
1024,Queria ver verdade secreta mais a criança tá aqui lutando com o sono .. q raiva 😡,-1
273,"Tmb concorrendo com tititi q não tem muito público, depende de qual reprise está no vale a pena pena. tanto q as últimas não se saiu tão bem assim pois competiu com Avenida Brasil Eta mundo bom Laços de família Mas talvez daria certo sim é um luxo tmb",1
744,"Selva de Pedra, de 1986. Eu tinha um crush na Fernanda Torres fortíssimo, cê é loko, maior gatinha...",1
653,Rodrigo Santoro tá tão fofinho em explode coração,1
461,"Nehuma, tão tudo assistindo round 6 ainda. É um lançamento claro que vai fazer mais sucesso que um filme Marvel que já tá no mercado mais tempo",-1
595,Falta 8 capítulo pra mim acabar #AviagemNoGloboplay #aviagem,0
227,"é oficial família: falto 15 capítulos pra terminar explode coração, terça finalmente vem ai a grande finale",0
556,"@fulano Por causa de uma novela(acho que Explode Coração) que um menino se perdia da mãe e virava criança de rua, morria de medo de acontecer comigo e acreditava que crianças de ruas viviam assim por terem se perdido dos pais.",-1
237,Terra Nostra e O Rei do Gado na minha cabeça foram novelas das 18h,0
129,estela tá parecendo uma mocinha kkskkskskdksks VIVI POR ISTO #AViagemNoGloboplay,1
184,batendo meu ponto #AViagemNoGloboplay,0
785,"Mano que garoto chatooo,esse filho da Maria paula,o garoto vive se metendo nos assuntos dela affff jesus me dá força #duascarasnogloboplay",-1
174,#TheVoiceBrasil Letícia Coutinho maravilhosa; a voz dela me lembra Arcos Da Lapa na novela Mulheres Apaixonadas,1
138,"A globo vai reprisar O clone, eu amo essa novela 🥰",1
448,Acordei e sex education já está disponível na Netflix 🥰,1
672,"Lançamento caneca Round 6, batatinha frita 1, 2, 3.. 😱🎁 Veja mais#round6 #squidgame #netflix #canecaspersonalizadas #canecascriativas #canecasexclusivas #canecasdivertidas #brindes #presentes",0
1003,E eu que descobri que o diretor de Squid Game confirmou numa entrevista que os uniformes dos soldados são rosa e não vermelho? Eu tô em choque A MÚSICA que toca quando eles aparecerem se chama Pink Soldiers mano AaaAAAa Ainda bem que ainda não fiz a minha fanart ahsuashahs,0
501,"E Mario Gomes em Vereda Tropical, eu amava o Luquinha rs",1
355,Vamos falar sobre novelas antigas. 📺 Eu começo: Pedra sobre Pedra,0
148,meu deus a terra nostra está se achando a QUERIDA DO PUBLICO,-1
132,"🗣️🎶 Martinio, tormento d amoreeeee, cantando na abertura da novela Terra Nostra.",0
231,Queria mulheres de areia,1
702,a cena mais icônica de o clone é a da nazira assistindo uma cena de louco amor da gloria pires beijando o fabio jr pra aprender a beijar kkkkkkkk nada supera,1
599,vou rever minha novela preferida mulheres apaixonadas amo ser uma velha de 75 anos,1
910,colocando até o fone pra ouvir melhor a voz do claudio cavalcanti é muito sobre isso #AViagemNoGloboplay,1
743,"Eu tinha medo do cadeirudo da novela indomada! Uma vez cheguei a chorar, mas eu amava a novela!",1
755,assistindo mulheres apaixonadas a novela que a minha mulher coloca pra ELA assistir só que ela dorme,0
308,"Não sei porque o Fábio aceita uma mulher que odeia os filhos dele, essa Paula é uma mulher nojenta, escandalosa, barraqueira, só abre a boca para praguejar os outros, insuportável, um nojo, a verdadeira vilã da novela, não suporto #AgatacomeuNoGloboplay",-1
497,Sim. Eu preciso acordar cedo. Mas verdades secretas vai tá mto boa hoje 🤷🏼‍♂️,1
593,"Giovanna Antonelli relembra sucesso de Jade em O Clone : Não importa o lugar, sempre alguém me reconhece",1
1001,"A série sul-coreana  Round 6  foi a maior estreia da Netflix com 130 milhões de contas acessando a produção entre o dia do lançamento e 16 de outubro. A Coréia do Sul investiu 31 bilhões de reais no ano passado em produção cultural, esporte e turismo.",1
851,"O comendador nadando na piscina de dólares, ao som de  Pedras Que Cantam , homenagem a #PedraSobrePedra. #Império",1
146,"O maior erro de Duas Caras foi Juvenal e Alzira. Puro tesão,não tinha amor nenhum,paixão nenhuma,era só desejo. Que ódio que eu tenho. #DuasCarasnoGloboplay",-1
443,queria uma novela que me prendesse tanto quando Laços de Família e Êta Mundo Bom me prendeu,1
31,Mais uma semana! #AViagemNoGloboplay,0
619,"Vai reprisar o clone no vale a pena ver de novo ,eu amo demais essa novela 🥺",1
715,"Saudade de laços de família. De ser advogada da Camila, de falar mal do casal de sonsos traidores, Fred e Capitu, de xingar a Íris, o Pedro, o Edu, de elogiar o Miguel pois melhor pessoa da novela...",1
607,outro agressor de mulher... #AGataComeuNoGloboplay,-1
30,ATAKKKKKKKKKK p ser sincero eu tb ja deu uma dessas tinha uma menina na minha sala de 2008 q se chamava flora eu vivia chamando ela de assassina por causa da novela a favorita 😭😭😭😭,-1
454,Mulheres Apaixonadas QUEREMOS PEDRO E TERESA,1
1027,Algumas novelas pararam o Brasil Avenida Brasil A Força Do Querer América Senhora Do Destino Roque santeiro Vale Tudo....,1
964,"Pedra sobre Pedra , Cândido Alegria do maravilhoso Armando Bogus...sensacional 😂😂😂😂",1
109,Assistindo ao último capítulo de #DuasCarasNoGloboplay e chegando a conclusão de que o problema da Silvia era o Brasil,0
75,Até amanhã com mais #AGataComeuNoGloboplay meu povo. Bjos e boa noite!,1
907,A crítica ENLOUQUECIDA com o primeiro trabalho de Gloria Pires e R***** D***** desde Vale Tudo e a novela foi um fracasso rs,-1
32,@fulano Será sim e outra ela seria a substituta de Laços de Familia,0
364,"😂😂 hoje a novela A favorita só vale pela flora, envelheceu mal demais.",-1
40,"12. Laços de Família um clássico é um clássico, a maioral ",1
699,"nossa esses dias eu fui rever terra nostra e pqp os cara praticamente dizem em uma das cena que os europeus não aceitariam ser escravizados, dando a entender que os negros foram escravizados por opção",-1
894,Alguma dica de série maravilhosa pra mais uma noite chuvosa? Acabei Round 6,1
929,"de longe uma das minhas favoritas, só não é melhor que chocolate com pimenta🥰 tesouro nacional eu amo essa novela",1
1025,Mano! Tem The Cure na trilha de Verdades Secretas! E logo uma das minhas favoritas! A Letter to Elise . #VerdadesSecretas,1
142,passando pra lembrar q dia 04 estreia ela... #OClone 🧬,0
724,meu reizinho cortou o cabelo que ódio #VeredaTropical,-1
577,o mauro é podre demais tinha que ser amigo do teodoro mesmo #AViagemNoGloboplay,-1
858,"Pra mim, o Cravo e a Rosa e Chocolate com pimenta são do mesmo universo.",0
666,Fernanda Torres em Selva de Pedra - era louco naquelas bochechinhas dela. 😍♥️,1
872,Tem esperança que chegou a ter o título de terra nostra II.,0
480,"A pessoa precisa fazer feira, mas está há três capítulos presa em Mulheres de Areia.",1
511,"Pega essa dica Se você gostou da atuação do Lee Jung‑jae em #Round6 depois assista a #ChiefofStaff (Chefe de Gabinete BR), que na minha opinião é uma série que a atuação dele é INCRÍVEL Tudo na NetflixBrasil",1
156,Sororidade zero em #MulheresApaixonadas. Helena querendo roubar o namorado da enteada. Vidinha se oferecendo pro Sérgio em todas oportunidades msm vendo que a Helô está destruída tentando salvar o casamento. E o César e o Sérgio são um mais tóxico que o outro. 🤮,-1
566,odeio esses momentos do otávio pensando na viagem um tópico sensível demais #AViagemNoGloboplay,-1
472,"Ele me lembra o Professor Astromar de Roque Santeiro, quando abre a boca pra falar faz uma palestra de 3 horas hahaha ninguém aguenta.",-1
921,"Pq o globloplay é tão caro né? Nem é bom de mexer. Queria ver uma novelinha BOCA (eu tô falando bde clássicos, uma A viagem..) mas não vale a pena",-1
888,Hora de jantar acreditando na rapaziada. #DuasCarasNoGloboplay,0
824,"A @fulano acaba com a própria grade sem necessidade alguma - precisa mesmo exibir #OClone nesse dia? Putz... que l*** de emissora, véi.",-1
834,Alinne Moraes tá lindíssima em #DuasCarasNoGloboplay,1
623,nossa cara que novelão da porra #duascaras,1
810,"@fulano O correto já seria vir com a classificação +12, como Avenida Brasil e Laços de Família.",0
786,"sexta tem o lançamento de montero e a terceira temporada de sex education, nunca tive depressão!!! ",1
46,o lançamento da 3 temp de sex education é o motivo do meu surto e da minha felicidade sim!! ,1
433,"A ideia era ser uma continuação de Terra Nostra mesmo, mas o período que o BRB queria abordar uma outra minissérie pegou na mesma época, aí ele mudou de ideia. Só que aí na exportação, a novela virou... Terra Speranza! Sem falar nisso do elenco também",-1
27,Fico em choque toda vez que o Daniel fala porque ele tem a voz IDÊNTICA do Kayky Brito em chocolate com pimenta,0
178,a dica pra ver round6 e sair blindado eh >>nao<< se deixar cativar por nenhum personagem. todo mundo morre. até você.,-1
846,"Após passar minhas provas m, vou começar a assistir #duascarasnogloboplay",0
806,Round 6 conseguiu ser a maior produção original da Netflix em seu mês de lançamento,1
263,Mulheres de Areia é uma das melhores produções do audiovisual da história e digo isso com tranquilidade,1
827,rever uns episodios de Terra Nostra pra aprender italiano 🤌🏾 🍝 🍕🇮🇹,1
711,Essa novela o clone é boa né?!,1
410,Dináh beijou muito rápido o Otávio. Só ouvir música e pimba. #aviagemnogloboplay,0
121,Gloria Perez relembra sucesso de O Clone e fala sobre inspiração para a novela,1
721,3 temporada de Sex Education sai daqui algumas horas e não vi a Emma em promo alguma... e pela entrevista que ela deu to sentindo que essa vai ser a última temporada dela na série. Se ela sair eu n assisto mais #sexeducation ,-1
494,O clone vai reprisar o que significa que estamos a uma novela da melhor do mundo: avenida Brasil,1
374,"Nossa mas eu ia amar se Mulheres de Areia viesse aí em, morro de curiosidade",1
813,o pai Penteado gastando o que não tem e deixando todo o dinheiro na mão da Esther #AGataComeuNoGloboplay,0
621,O maior erro de Selva de Pedra 1986 foi o Cristiano ter abandonado a Fernanda no altar. O plano original da Janete Clair na versão de 72 era que os dois se casassem. Só não rolou pq a Censura proibiu. Imagina que foda seria,-1
508, por onde anda O Bem Amado? um bj para O Bem Amado...,0
346,(Fanny) Marieta Severo brilhante. #Verdadessecretas,1
61,Com Pega Pega foram 3 4 capítulos de Sassaricando e 2 de vereda tropical,0
917,Tony vai pagar com cartão de crédito em 1985. O cara é milionário mesmo! #AGataComeuNoGloboplay,1
225,Laços de Família bem,1
444,Cena do acerto de contas de Tieta e o pai Zé Esteves. A cena da morte dele também é uma porrada de bem feita. É de desidratar.,1
233,"Chocada que o Alê possuía Andreza tbm, não lembrava. #aviagemnogloboplay",0
768,"Eu tô viciada em verdades secretas, só vejo isso na televisão e mais nada",1
611,O Barretinho. 😂😂😂😂😂😂😂🙈 #DuasCarasNoGloboplay,1
295,cama de gato adiada que inferno corri com mulheres de areia pra nada,-1
848,no dia q eu terminar o bem amado eu faço uma festa de arromba,0
648,a trama de vereda tropical não é UAU revolucionária mas da p ver q o lombardi teve cuidado pra falar sobre,1
1033,maluco deixou a flora beijinho doce de a favorita entrar na mente dele,0
490,"[SUPER DICA] Salvei meu amigo de entrar pro Round 6 e talvez te salve tbm. Se seu MacBook tiver algum problema e ele for de 2016 pra frente, mesmo que comprado de segunda mão e mesmo que vc não tenha nota, você pode ir direto na loja da Apple, que eles consertam de graça.",-1
279,"lançamento da 3° temporada de sex education E final space no mesmo dia, acordei feliz : )",1
